largest_property_use_type_-_gross_floor_area_(ft),energy_star_score,source_eui_(kbtu/ft),weather_normalized_source_eui_(kbtu/ft),site_eui_(kbtu/ft),weather_normalized_site_eui_(kbtu/ft),weather_normalized_site_electricity_intensity_(kwh/ft),weather_normalized_site_natural_gas_intensity_(therms/ft),natural_gas_use_(kbtu),weather_normalized_site_natural_gas_use_(therms),electricity_use_-_grid_purchase_(kwh),weather_normalized_site_electricity_(kwh),total_ghg_emissions_(metric_tons_co2e),direct_ghg_emissions_(metric_tons_co2e),indirect_ghg_emissions_(metric_tons_co2e),occupancy,number_of_buildings,self-reported_gross_floor_area_(ft),age,primary_property_type_-_self_selected,postal_code,largest_property_use_type,metered_areas_(energy),borough,AddressNumber,StreetName,label_for_target_var
106440.0,65.0,111.0,114.9,79.2,83.0,4.7,0.7,6736055.4,71438.9,496132.3,495000.0,501.1,357.8,143.4,100,1,106440,59,Multifamily Housing,11235,Multifamily Housing,Whole Building,Brooklyn,4750,Bedford,1
17364.0,31.0,204.6,220.3,149.7,166.5,6.7,0.9,1329400.0,14933.7,120198.0,116431.5,170.8,134.5,36.4,100,1,17364,120,Office,10466,Office,Whole Building,Bronx,4101,Plains,0
97900.0,48.0,101.3,108.8,79.3,85.7,3.1,0.8,6745300.2,73461.0,297072.1,307268.4,444.1,358.3,85.8,95,1,97900,98,Multifamily Housing,11225,Multifamily Housing,Whole Building,Brooklyn,115,Ocean,1
65000.0,66.0,96.9,101.7,47.3,49.7,8.3,0.2,1319660.6,13900.7,514530.9,539442.9,346.9,70.1,276.8,100,1,65000,12,Multifamily Housing,11772,Multifamily Housing,Whole Building,Patchogue,20,Terry,1
45480.0,13.0,156.7,162.6,94.5,98.4,9.9,0.6,2805776.9,29334.0,437742.4,451791.5,275.5,149.0,126.5,100,1,45480,39,Multifamily Housing,10021,Multifamily Housing,Whole Building,Manhattan,52,72nd,0
133280.0,98.0,18.4,18.4,5.9,5.9,1.7,,,,228800.0,228800.0,69.2,0.0,69.2,100,1,133280,51,Non-Refrigerated Warehouse,11231,Non-Refrigerated Warehouse,Whole Building,Brooklyn,645,Clinton,2
840623.0,51.0,272.6,272.6,234.6,234.6,3.7,2.2,210661098.5,2106611.0,3498344.8,3498344.8,12247.5,11189.2,1058.3,100,1,948747,96,Office,10036,Office,Whole Building,Manhattan,11,42nd,1
354929.0,46.0,125.9,129.4,80.7,84.7,6.8,0.6,20712472.7,222783.2,2493390.7,2453071.0,1820.6,1100.1,720.5,100,1,361886,45,Multifamily Housing,10016,Multifamily Housing,Whole Building,Manhattan,240,27th,1
62500.0,50.0,118.9,125.6,70.3,76.1,5.2,0.0,67826.7,691.0,333911.0,331599.2,323.2,3.6,319.6,100,1,64000,96,Multifamily Housing,10021,Multifamily Housing,Whole Building,Manhattan,36,72nd),1
89990.0,39.0,130.4,134.7,101.3,105.5,4.0,0.9,7592405.2,79746.4,364604.5,362737.5,529.7,424.3,105.4,100,1,89990,61,Multifamily Housing,11229,Multifamily Housing,Whole Building,Brooklyn,1735,13th,1
43680.0,19.0,141.7,144.0,116.6,119.2,3.8,0.1,293964.5,2963.4,168952.5,167342.3,377.8,329.0,48.8,100,1,43680,95,Multifamily Housing,10463,Multifamily Housing,Whole Building,Bronx,3100,Heath,0
576528.0,46.0,114.0,119.3,78.2,83.1,5.4,0.6,32005803.1,348660.6,3169698.5,3178227.5,2851.7,1935.8,915.9,100,2,588528,66,Multifamily Housing,10019,Multifamily Housing,Whole Building,Manhattan,345,58th,1
34125.0,18.0,132.6,137.5,96.0,101.1,5.3,0.8,2655377.9,28362.4,181836.2,179415.2,193.6,141.0,52.5,95,1,34125,94,Multifamily Housing,10456,Multifamily Housing,Whole Building,Bronx,986,Morris,0
50361.0,65.0,178.4,178.5,56.8,56.9,16.7,,,,838399.9,839165.3,253.6,0.0,253.6,100,1,50361,95,Office,11217,Office,Whole Building,Brooklyn,501,State,1
53650.0,27.0,166.8,173.4,107.9,113.6,7.6,0.9,4418737.0,47083.8,402312.8,406947.8,356.4,234.7,121.7,100,1,53650,65,Multifamily Housing,11223,Multifamily Housing,Whole Building,Brooklyn,2245,Ocean,0
185724.0,97.0,74.4,77.4,52.8,56.0,3.1,0.5,7791500.0,84220.7,589874.8,579710.0,584.3,413.8,170.5,100,10,185724,94,Multifamily Housing,11375,Multifamily Housing,Whole Building,Queens,68-49,Burns,2
31830.0,100.0,38.2,37.8,16.1,16.0,3.5,0.0,125556.7,1255.6,113501.9,112028.1,39.5,6.7,32.8,100,1,31830,101,Multifamily Housing,10040,Multifamily Housing,Whole Building,Manhattan,30,Fairview,2
40580.0,1.0,222.4,236.1,182.3,195.0,5.2,1.8,6678930.4,71891.6,210760.5,212758.4,415.7,354.8,60.9,100,1,40580,116,Multifamily Housing,10031,Multifamily Housing,Whole Building,Manhattan,402,148th,0
87582.0,100.0,39.3,39.7,14.9,15.3,3.3,0.0,309700.0,3429.2,291254.0,291254.0,104.6,16.4,88.1,100,1,87582,7,Multifamily Housing,10026,Multifamily Housing,Whole Building,Manhattan,2040,Douglas,2
88160.0,37.0,116.0,121.9,78.3,84.5,5.6,0.7,5203122.1,57766.4,498535.6,489576.3,420.4,276.4,144.1,100,1,88160,93,Multifamily Housing,10022,Multifamily Housing,Whole Building,Manhattan,424,52,1
65040.0,12.0,171.2,178.8,124.1,132.0,5.6,1.1,6802872.9,73384.0,372544.1,366287.5,474.0,361.3,112.7,100,1,65040,96,Multifamily Housing,10452,Multifamily Housing,Whole Building,Bronx,105,CLARKE,0
58716.0,12.0,165.8,,113.0,,7.9,0.9,4620527.7,51018.6,465989.7,465989.7,411.7,277.1,134.7,100,1,58716,123,College/University,11205,K-12 School,Whole Building,Brooklyn,195,Grand,0
39600.0,95.0,106.5,111.4,62.7,67.4,5.7,0.4,1375900.0,15622.1,227400.0,227400.0,166.4,97.7,68.8,100,1,39600,123,K-12 School,11215,K-12 School,Whole Building,Brooklyn,515,4th,2
33310.0,51.0,119.4,123.8,77.4,81.4,6.4,0.6,1851210.0,19795.5,212793.0,214071.6,159.8,98.3,61.5,100,1,33310,13,Multifamily Housing,10460,Multifamily Housing,Whole Building,Bronx,986,181st,1
66000.0,36.0,116.6,123.3,90.8,97.3,3.5,0.9,5186933.4,56209.0,235572.6,234210.7,343.6,275.5,68.1,90,1,66000,96,Multifamily Housing,10463,Multifamily Housing,Whole Building,Bronx,3110,Kingsbridge,1
91000.0,66.0,114.5,119.4,81.0,85.8,4.1,0.7,6082758.8,65351.5,376417.1,373490.9,437.0,323.1,113.9,100,1,91000,73,Multifamily Housing,11372,Multifamily Housing,Whole Building,Queens,77-02,34th,1
